"model","hyperparameters","Accuracy","Precision","Recall","AUC"
"Random Forest, 1","Trees: 500, Depth: 10","0.942","0.8977","0.8820","0.9714"
"Random Forest, 2","Trees: 800, Depth: 20","0.9568","0.9217","0.9120","0.9781"
