"model","hyperparameters","Accuracy","Precision","Recall","AUC"
"Majority Class, Imbalanced","None","0.91926201760325","0.91926201760325","1","0.5"
"Majority Class, Balanced","None","0.508615845663982","0.508615845663982","1","0.5"
